Table 1,,,,,,,,,,,
Information about brown frogs included in this study.,,,,,,,,,,,
Species name,Voucher No.,Locality,Longitude,Latitude,Locality No.,GenBank accession numbers,,,,,
,,,,,,12S,16S,Cytb,CO1,RAG2,LIG4
R. dybowskii*,SYNU08100690,"Mudanjiang, Heilongjiang, China",129°33',44°35',1,KF204617,KF020592,KF020621,KF020606,KX025047,KX024980
R. chensinensis*,SYNU-hld1,"Huludao, Liaoning prov., China",120°53',40°45',2,KF204616,KF0205981,KF0206271,KF0206121,KJ3719731,KJ3719561
R. huanrensis*,SYNU07040035,"Huanran, Liaoning, China",125°25',41°17',3,KF204614,KF204642,KF204668,KX139725,KX139740,KX139734
R. kukunoris,SCUM045101WD,"Luoergai Co., Aba State, Sichuan prov., China",102°56′,33°35′,4,DQ2890912,DQ2891162,JN9842313,,-,-
,CJ06102001,"Qinghai Lake, Qinghai prov., China",100°02′,36°37′,5,,,JN9842134,JF9390734,,
R. coreana*,SYNU13030005,"Mt. Kunyushan, Shandong prov., China",121°52',37°12',6,KX139718,KJ3719371,KJ3719451,KJ3719411,KJ3719801,KJ3719651
R. amurensis*,SYNU11100267,"Taiyangdao, Heilongjiang prov., China",126°35',45°47',7,KX139717,KF0205891,KF0206181,KF0206031,KJ3719751,KJ3719581
R. chaochiaoensis,SCUM045096WD,"Zhongdian, Yunnan prov., China",-,-,8,DQ2890812,DQ2891062,,,-,-
R. jiemuxiensis,KIZ05263,"Jiemuxi National Nature Reserve, Hunan prov., China",110°24',28°52',9,-,-,JF9391274,JF9390904,-,-
R. culaiensis*,SYNU07050129,"Mt. Culaishan, Shandong prov., China",117°21',36°03',10,KF204588,KF204620,KF204644,KX139726,KX139741,KX139735
R. zhenhaiensis*,SYNU08040100,"Hangzhou, Zhejiang prov., China",120°08',30°13',11,KF204594,KF020599,KF020628,KF020613,KJ371970,KJ371954
R. hanluica*,SYNU07100490,"Mt. Yangmingshan, Hunan prov., China",111°54',26°06',12,KF204607,HQ228158,KF020629,KF020614,KJ371968,KJ371949
R. omeimontis*,SYNU08060317,"Mt. Emei, Sichuan prov., China",103°20',29°29',13,KF204605,KF204637,KF204661,KX139727,KX139742,KX139736
R. longicrus,long.T,"Taipei, Taiwan prov., China",-,-,14,AB0588635,AB0588815,,,-,-
,KIZ15026,"Nanzhuang, Miaoli, Taiwan prov., China",-,-,,,,JF9391074,JF9390674,,
R. japonica,jap. JH,"Hiroshima, Japan",-,-,15,AB0588585,AB0588765,,,-,-
,KIZYPX11775,Japan,'-,-,,,,JF9391384,JF9391014,,
R. maoershanensis*,SYNU08030061,"Mt. Maoershan, Guangxi prov., China",110°24',25°52',16,KX139719,KX139722,KX139731,KX139728,KX139743,KX139737
,SYNU08030062,"Mt. Maoershan, Guangxi prov., China",110°24',25°52',16,KX139720,KX139723,KX139732,KX139729,KX139744,KX139738
,SYNU08030068,"Mt. Maoershan, Guangxi prov., China",110°24',25°52',16,KX139721,KX139724,KX139733,KX139730,KX139745,KX139739
Lithobates catesbeiana,,"Jinhua, Zhejiang, China",-,-,,KF0499276,KF0499276,KF0499276,KF0499276,-,-
Lithobates sylvatica,,"Southeastern Ontario, Canada",-,-,,KP2222817,KP2222817,KP2222817,KP2222817,-,-
Babina daunchina*,SYNU12050567,"Hangzhou, Zhejiang, China",120°08',30°13',,KF204618,KF0206001,KF0206301,KF0206151,KJ3719711,KJ3719551
